date,MWValue,MWState,SELMWValue,SELMWState,MSP,MSPState,MSPS,MSPSState,THRTEMP,THRTEMPState
2016-3-1 12:45:00, 910.066,0x0000, 910.066,0x0008, 30.2686,0x0000, 29.6229,0x0000, 603.26, 0x0000
2016-3-1 12:50:00, 914.348,0x0000, 914.348,0x0008, 30.3907,0x0000, 29.9974,0x0000, 603.544,0x0000
2016-3-1 12:55:00, 905.783,0x0000, 905.783,0x0008, 30.3297,0x0000, 29.8432,0x0000, 601.982,0x0000
2016-3-1 13:00:00, 916.918,0x0000, 916.918,0x0008, 30.0855,0x0000, 29.9069,0x0000, 602.306,0x0000
2016-3-1 13:05:00, 919.487,0x0000, 919.487,0x0008, 30.5739,0x0000, 30.3904,0x0000, 605.751,0x0000
2016-3-1 13:10:00, 922.914,0x0000, 922.914,0x0008, 31.0012,0x0000, 30.3256,0x0000, 607.645,0x0000
2016-3-1 13:15:00, 922.914,0x0000, 922.914,0x0008, 30.8181,0x0000, 30.1784,0x0000, 603.793,0x0000
2016-3-1 13:20:00, 916.918,0x0000, 916.918,0x0008, 30.696, 0x0000, 30.0195,0x0000, 603.174,0x0000
2016-3-1 13:25:00, 941.757,0x0000, 941.757,0x0008, 30.9402,0x0000, 30.4356,0x0000, 600.335,0x0000
2016-3-1 13:30:00, 961.458,0x0000, 961.458,0x0008, 31.0623,0x0000, 30.9549,0x0000, 598.101,0x0000
2016-3-1 13:35:00, 964.027,0x0000, 964.027,0x0008, 30.4518,0x0000, 30.9549,0x0000, 597.804,0x0000
2016-3-1 13:40:00, 958.888,0x0000, 958.888,0x0008, 30.5128,0x0000, 31.0604,0x0000, 601.688,0x0000
2016-3-1 13:45:00, 962.314,0x0000, 962.314,0x0008, 30.5128,0x0000, 31.0102,0x0000, 605.45, 0x0000
2016-3-1 13:50:00, 961.458,0x0000, 961.458,0x0008, 30.8791,0x0000, 31.0102,0x0000, 607.65, 0x0000
2016-3-1 13:55:00, 970.879,0x0000, 970.879,0x0008, 31.1844,0x0000, 31.0102,0x0000, 605.788,0x0000
2016-3-1 14:00:00, 970.023,0x0000, 970.023,0x0008, 31.2454,0x0000, 31.0102,0x0000, 602.628,0x0000
2016-3-1 14:05:00, 971.736,0x0000, 971.736,0x0008, 31.1233,0x0000, 31.0102,0x0000, 602.009,0x0000
2016-3-1 14:10:00, 971.736,0x0000, 971.736,0x0008, 30.757, 0x0000, 31.0102,0x0000, 600.779,0x0000
2016-3-1 14:15:00, 971.736,0x0000, 971.736,0x0008, 30.6349,0x0000, 31.0102,0x0000, 602.069,0x0000
2016-3-1 14:20:00, 971.736,0x0000, 971.736,0x0008, 30.5739,0x0000, 31.0102,0x0000, 605.876,0x0000
2016-3-1 14:25:00, 973.449,0x0000, 973.449,0x0008, 30.757, 0x0000, 31.0102,0x0000, 609.658,0x0000
2016-3-1 14:30:00, 975.162,0x0000, 975.162,0x0008, 31.5507,0x0000, 31.0102,0x0000, 608.676,0x0000
2016-3-1 14:35:00, 972.592,0x0000, 972.592,0x0008, 31.5507,0x0000, 31.0102,0x0000, 599.365,0x0000
2016-3-1 14:40:00, 973.449,0x0000, 973.449,0x0008, 31.5507,0x0000, 31.0102,0x0000, 601.851,0x0000
2016-3-1 14:45:00, 972.592,0x0000, 972.592,0x0008, 31.4896,0x0000, 31.0102,0x0000, 603.109,0x0000
2016-3-1 14:50:00, 971.736,0x0000, 971.736,0x0008, 31.5507,0x0000, 31.0102,0x0000, 604.671,0x0000
2016-3-1 14:55:00, 970.023,0x0000, 970.023,0x0008, 30.8181,0x0000, 31.0102,0x0000, 600.26, 0x0000
2016-3-1 15:00:00, 966.597,0x0000, 966.597,0x0008, 30.3907,0x0000, 31.0102,0x0000, 598.986,0x0000
2016-3-1 15:05:00, 964.884,0x0000, 964.884,0x0008, 30.3907,0x0000, 31.0102,0x0000, 603.097,0x0000
2016-3-1 15:10:00, 962.314,0x0000, 962.314,0x0008, 30.3297,0x0000, 31.0102,0x0000, 605.69, 0x0000
2016-3-1 15:15:00, 962.314,0x0000, 962.314,0x0008, 30.2686,0x0000, 31.0102,0x0000, 606.597,0x0000
2016-3-1 15:20:00, 960.601,0x0000, 960.601,0x0008, 30.2686,0x0000, 31.0102,0x0000, 609.1,  0x0000
2016-3-1 15:25:00, 970.879,0x0000, 970.879,0x0008, 30.4518,0x0000, 31.0102,0x0000, 607.555,0x0000
2016-3-1 15:30:00, 969.166,0x0000, 969.166,0x0008, 30.4518,0x0000, 31.0102,0x0000, 604.7,  0x0000
2016-3-1 15:35:00, 970.023,0x0000, 970.023,0x0008, 30.8791,0x0000, 31.0102,0x0000, 607.529,0x0000
2016-3-1 15:40:00, 970.879,0x0000, 970.879,0x0008, 31.3919,0x0000, 31.0102,0x0000, 604.412,0x0000
2016-3-1 15:45:00, 969.166,0x0000, 969.166,0x0008, 31.4652,0x0000, 31.0102,0x0000, 600.363,0x0000
2016-3-1 15:50:00, 970.023,0x0000, 970.023,0x0008, 30.6105,0x0000, 31.0102,0x0000, 596.951,0x0000
2016-3-1 15:55:00, 958.888,0x0000, 958.888,0x0008, 30.2442,0x0000, 31.0102,0x0000, 600.345,0x0000
2016-3-1 16:00:00, 951.179,0x0000, 951.179,0x0008, 30.1221,0x0000, 31.0102,0x0000, 601.924,0x0000
2016-3-1 16:05:00, 945.183,0x0000, 945.183,0x0008, 30.1221,0x0000, 31.0102,0x0000, 605.693,0x0000
2016-3-1 16:10:00, 948.61, 0x0000, 948.61, 0x0008, 30.1221,0x0000, 31.0102,0x0000, 607.56, 0x0000
2016-3-1 16:15:00, 952.036,0x0000, 952.036,0x0008, 30.1221,0x0000, 31.0102,0x0000, 605.072,0x0000
2016-3-1 16:20:00, 958.031,0x0000, 958.031,0x0008, 30.1221,0x0000, 31.0102,0x0000, 604.129,0x0000
2016-3-1 16:25:00, 958.888,0x0000, 958.888,0x0008, 30.1221,0x0000, 31.0102,0x0000, 603.472,0x0000
2016-3-1 16:30:00, 944.327,0x0000, 944.327,0x0008, 30.1831,0x0000, 31.0102,0x0000, 607.352,0x0000
2016-3-1 16:35:00, 945.183,0x0000, 945.183,0x0008, 30.1221,0x0000, 31.0102,0x0000, 604.82, 0x0000
2016-3-1 16:40:00, 940.901,0x0000, 940.901,0x0008, 30.1221,0x0000, 31.0102,0x0000, 602.018,0x0000
2016-3-1 16:45:00, 935.762,0x0000, 935.762,0x0008, 30.0977,0x0000, 30.9995,0x0000, 600.228,0x0000
2016-3-1 16:50:00, 930.622,0x0000, 930.622,0x0008, 30.0977,0x0000, 30.9995,0x0000, 605.58, 0x0000
