时间,UNIT3:HHA71AS001XQ01数值,UNIT3:HHA71AS001XQ01状态,UNIT3:HHA72AS001XQ01数值,UNIT3:HHA72AS001XQ01状态,UNIT3:HHA73AS001XQ01数值,UNIT3:HHA73AS001XQ01状态,UNIT3:HHA74AS001XQ01数值,UNIT3:HHA74AS001XQ01状态,UNIT3:HHA81AS001XQ01数值,UNIT3:HHA81AS001XQ01状态,UNIT3:HHA82AS001XQ01数值,UNIT3:HHA82AS001XQ01状态,UNIT3:HHA83AS001XQ01数值,UNIT3:HHA83AS001XQ01状态,UNIT3:HHA84AS001XQ01数值,UNIT3:HHA84AS001XQ01状态,
	2016-3-15 11:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 11:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 11:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 12:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 12:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 12:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 12:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 12:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 12:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 13:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 13:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 13:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 13:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 13:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 13:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 14:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 14:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 14:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 14:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 14:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 14:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 15:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 15:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 15:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 15:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 15:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 15:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 16:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 16:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 16:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 16:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 16:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 16:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 17:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 17:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 17:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 17:30:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 17:40:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 17:50:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 18:00:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 18:10:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
	2016-3-15 18:20:00,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,	65,	0x0000,
